#,Created,Link,1. How old are you (1. Age),2. What is your gender? (1. Gender),3. How interested are you in music? (1. Music Interest),4. How much experience do you have in playing music? (1. Experience),5. matrix (1. Harmony),5. matrix (2. Rhythm),5. matrix (3. Musical Intention),5. matrix (4. Subjective Evaluation),6. matrix (1. Harmony),6. matrix (2. Rhythm),6. matrix (3. Musical Intention),6. matrix (4. Subjective Evaluation),7. matrix (1. Harmony),7. matrix (2. Rhythm),7. matrix (3. Musical Intention),7. matrix (4. Subjective Evaluation),8. matrix (1. Harmony),8. matrix (2. Rhythm),8. matrix (3. Musical Intention),8. matrix (4. Subjective Evaluation),9. matrix (1. Harmony),9. matrix (2. Rhythm),9. matrix (3. Musical Intention),9. matrix (4. Subjective Evaluation),10. matrix (1. Harmony),10. matrix (2. Rhythm),10. matrix (3. Musical Intention),10. matrix (4. Subjective Evaluation),11. matrix (1. Harmony),11. matrix (2. Rhythm),11. matrix (3. Musical Intention),11. matrix (4. Subjective Evaluation),12. matrix (1. Harmony),12. matrix (2. Rhythm),12. matrix (3. Musical Intention),12. matrix (4. Subjective Evaluation),13. matrix (1. Harmony),13. matrix (2. Rhythm),13. matrix (3. Musical Intention),13. matrix (4. Subjective Evaluation),14. matrix (1. Harmony),14. matrix (2. Rhythm),14. matrix (3. Musical Intention),14. matrix (4. Subjective Evaluation),15. matrix (1. Harmony),15. matrix (2. Rhythm),15. matrix (3. Musical Intention),15. matrix (4. Subjective Evaluation),16. matrix (1. Harmony),16. matrix (2. Rhythm),16. matrix (3. Musical Intention),16. matrix (4. Subjective Evaluation),17. matrix (1. Harmony),17. matrix (2. Rhythm),17. matrix (3. Musical Intention),17. matrix (4. Subjective Evaluation),18. matrix (1. Harmony),18. matrix (2. Rhythm),18. matrix (3. Musical Intention),18. matrix (4. Subjective Evaluation),19. matrix (1. Harmony),19. matrix (2. Rhythm),19. matrix (3. Musical Intention),19. matrix (4. Subjective Evaluation),20. matrix (1. Harmony),20. matrix (2. Rhythm),20. matrix (3. Musical Intention),20. matrix (4. Subjective Evaluation),21. matrix (1. Harmony),21. matrix (2. Rhythm),21. matrix (3. Musical Intention),21. matrix (4. Subjective Evaluation),22. matrix (1. Harmony),22. matrix (2. Rhythm),22. matrix (3. Musical Intention),22. matrix (4. Subjective Evaluation),23. matrix (1. Harmony),23. matrix (2. Rhythm),23. matrix (3. Musical Intention),23. matrix (4. Subjective Evaluation),24. matrix (1. Harmony),24. matrix (2. Rhythm),24. matrix (3. Musical Intention),24. matrix (4. Subjective Evaluation),25. matrix (1. Harmony),25. matrix (2. Rhythm),25. matrix (3. Musical Intention),25. matrix (4. Subjective Evaluation),26. matrix (1. Harmony),26. matrix (2. Rhythm),26. matrix (3. Musical Intention),26. matrix (4. Subjective Evaluation),27. matrix (1. Harmony),27. matrix (2. Rhythm),27. matrix (3. Musical Intention),27. matrix (4. Subjective Evaluation),28. matrix (1. Harmony),28. matrix (2. Rhythm),28. matrix (3. Musical Intention),28. matrix (4. Subjective Evaluation),29. matrix (1. Harmony),29. matrix (2. Rhythm),29. matrix (3. Musical Intention),29. matrix (4. Subjective Evaluation)
3780b803-6390-4c2f-9084-7d84c39fb7f1,2024-04-12T06:27:43+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/3780b803-6390-4c2f-9084-7d84c39fb7f1,3 (30-40),1 (Male),3 (Neutral),1 (No music experience),2 (2),2 (2),2 (2),1 (1),2 (2),2 (2),2 (2),1 (1),4 (4),3 (3),4 (4),1 (1),4 (4),4 (4),4 (4),2 (2),2 (2),2 (2),2 (2),1 (1),2 (2),2 (2),2 (2),1 (1),4 (4),4 (4),4 (4),2 (2),3 (3),3 (3),3 (3),1 (1),3 (3),3 (3),3 (3),1 (1),1 (1),1 (1),1 (1),1 (1),3 (3),3 (3),1 (1),1 (1),2 (2),2 (2),3 (3),1 (1),3 (3),3 (3),2 (2),1 (1),2 (2),2 (2),2 (2),1 (1),3 (3),2 (2),2 (2),1 (1),1 (1),2 (2),1 (1),1 (1),2 (2),1 (1),1 (1),1 (1),1 (1),2 (2),2 (2),1 (1),1 (1),2 (2),2 (2),1 (1),2 (2),3 (3),3 (3),1 (1),3 (3),2 (2),2 (2),1 (1),4 (4),4 (4),3 (3),1 (1),3 (3),2 (2),3 (3),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1)
9c3f2132-5978-4d03-aced-c57e475581cc,2024-04-11T16:57:19+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/9c3f2132-5978-4d03-aced-c57e475581cc,2 (20-30),2 (Femal),4 (Interested),4 (Pro/Semi-Pro musician),2 (2),2 (2),3 (3),2 (2),3 (3),3 (3),4 (4),3 (3),4 (4),4 (4),4 (4),3 (3),4 (4),3 (3),4 (4),3 (3),3 (3),3 (3),3 (3),3 (3),3 (3),3 (3),4 (4),2 (2),4 (4),4 (4),4 (4),3 (3),4 (4),4 (4),4 (4),3 (3),4 (4),3 (3),3 (3),3 (3),2 (2),2 (2),3 (3),2 (2),4 (4),3 (3),4 (4),4 (4),3 (3),3 (3),4 (4),3 (3),4 (4),4 (4),4 (4),4 (4),3 (3),3 (3),3 (3),3 (3),2 (2),2 (2),2 (2),2 (2),3 (3),2 (2),3 (3),2 (2),3 (3),2 (2),3 (3),3 (3),3 (3),3 (3),2 (2),2 (2),3 (3),3 (3),3 (3),2 (2),4 (4),5 (5),4 (4),4 (4),4 (4),4 (4),4 (4),3 (3),4 (4),4 (4),3 (3),3 (3),4 (4),3 (3),3 (3),2 (2),2 (2),2 (2),2 (2),2 (2),3 (3),2 (2),2 (2),2 (2)
d04d4f88-151f-4067-9fdd-54cc6fb8ada1,2024-04-11T11:40:22+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/d04d4f88-151f-4067-9fdd-54cc6fb8ada1,2 (20-30),1 (Male),4 (Interested),3 (Amature/Hobby musician ),2 (2),2 (2),1 (1),2 (2),5 (5),5 (5),5 (5),5 (5),3 (3),2 (2),3 (3),3 (3),4 (4),5 (5),5 (5),5 (5),3 (3),2 (2),2 (2),2 (2),4 (4),5 (5),4 (4),4 (4),3 (3),4 (4),4 (4),3 (3),2 (2),2 (2),2 (2),2 (2),5 (5),5 (5),5 (5),5 (5),2 (2),1 (1),1 (1),1 (1),4 (4),4 (4),4 (4),4 (4),2 (2),3 (3),3 (3),2 (2),3 (3),4 (4),4 (4),4 (4),3 (3),2 (2),2 (2),3 (3),1 (1),1 (1),1 (1),1 (1),1 (1),3 (3),2 (2),2 (2),2 (2),3 (3),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),5 (5),5 (5),5 (5),5 (5),4 (4),4 (4),4 (4),4 (4),5 (5),5 (5),5 (5),5 (5),4 (4),3 (3),4 (4),4 (4),1 (1),1 (1),1 (1),1 (1),3 (3),2 (2),2 (2),3 (3)
6f8c6910-87cc-462b-bb47-e3328aba78aa,2024-04-11T08:46:29+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/6f8c6910-87cc-462b-bb47-e3328aba78aa,2 (20-30),1 (Male),5 (Very Interested),3 (Amature/Hobby musician ),5 (5),1 (1),2 (2),3 (3),3 (3),2 (2),2 (2),4 (4),3 (3),3 (3),3 (3),3 (3),5 (5),5 (5),4 (4),4 (4),1 (1),1 (1),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),4 (4),3 (3),3 (3),3 (3),4 (4),3 (3),3 (3),3 (3),1 (1),1 (1),1 (1),2 (2),1 (1),1 (1),1 (1),3 (3),4 (4),4 (4),4 (4),2 (2),3 (3),3 (3),3 (3),1 (1),3 (3),4 (4),3 (3),3 (3),2 (2),1 (1),2 (2),1 (1),1 (1),1 (1),1 (1),2 (2),2 (2),2 (2),3 (3),4 (4),2 (2),2 (2),2 (2),2 (2),2 (2),3 (3),3 (3),2 (2),1 (1),1 (1),1 (1),1 (1),3 (3),3 (3),3 (3),2 (2),2 (2),1 (1),1 (1),2 (2),4 (4),4 (4),3 (3),3 (3),2 (2),1 (1),2 (2),2 (2),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1)
fdf84983-8443-46e0-83ea-2faf6a3bcac9,2024-04-10T18:01:00+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/fdf84983-8443-46e0-83ea-2faf6a3bcac9,2 (20-30),2 (Femal),4 (Interested),2 (Little muscial experience),1 (1),1 (1),1 (1),1 (1),3 (3),3 (3),3 (3),3 (3),5 (5),5 (5),4 (4),4 (4),5 (5),4 (4),4 (4),4 (4),5 (5),5 (5),5 (5),5 (5),3 (3),3 (3),4 (4),3 (3),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),4 (4),5 (5),4 (4),4 (4),4 (4),3 (3),2 (2),2 (2),2 (2),1 (1),5 (5),4 (4),3 (3),3 (3),3 (3),3 (3),3 (3),2 (2),5 (5),5 (5),5 (5),5 (5),4 (4),4 (4),4 (4),3 (3),4 (4),2 (2),3 (3),2 (2),3 (3),5 (5),4 (4),3 (3),5 (5),4 (4),4 (4),3 (3),2 (2),3 (3),3 (3),2 (2),2 (2),3 (3),3 (3),2 (2),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),4 (4),2 (2),2 (2),2 (2),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1)
a35f9cc4-159c-4740-84e4-698c92663b33,2024-04-10T15:37:38+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/a35f9cc4-159c-4740-84e4-698c92663b33,5 (50-60),2 (Femal),3 (Neutral),2 (Little muscial experience),3 (3),2 (2),2 (2),3 (3),4 (4),3 (3),3 (3),4 (4),3 (3),3 (3),3 (3),2 (2),4 (4),4 (4),4 (4),4 (4),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),3 (3),3 (3),3 (3),3 (3),3 (3),3 (3),2 (2),3 (3),3 (3),4 (4),3 (3),3 (3),1 (1),2 (2),1 (1),1 (1),4 (4),4 (4),4 (4),4 (4),3 (3),3 (3),3 (3),2 (2),4 (4),4 (4),3 (3),3 (3),2 (2),2 (2),2 (2),1 (1),1 (1),1 (1),1 (1),1 (1),2 (2),3 (3),2 (2),2 (2),3 (3),2 (2),2 (2),2 (2),3 (3),3 (3),3 (3),3 (3),3 (3),3 (3),3 (3),3 (3),5 (5),5 (5),5 (5),5 (5),4 (4),4 (4),4 (4),4 (4),3 (3),3 (3),2 (2),2 (2),3 (3),2 (2),2 (2),2 (2),3 (3),2 (2),2 (2),4 (4),1 (1),2 (2),2 (2),2 (2)
b1d2eac1-6f4b-4c67-bd5d-edd23c0c3ff0,2024-04-10T15:34:10+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/b1d2eac1-6f4b-4c67-bd5d-edd23c0c3ff0,5 (50-60),1 (Male),3 (Neutral),3 (Amature/Hobby musician ),3 (3),2 (2),2 (2),3 (3),3 (3),3 (3),2 (2),3 (3),4 (4),4 (4),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),3 (3),3 (3),4 (4),3 (3),4 (4),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),4 (4),3 (3),4 (4),4 (4),3 (3),4 (4),4 (4),4 (4),3 (3),2 (2),2 (2),2 (2),5 (5),5 (5),4 (4),5 (5),3 (3),3 (3),4 (4),4 (4),4 (4),4 (4),3 (3),4 (4),3 (3),2 (2),2 (2),3 (3),1 (1),2 (2),1 (1),1 (1),3 (3),3 (3),3 (3),3 (3),3 (3),3 (3),1 (1),2 (2),2 (2),4 (4),3 (3),3 (3),3 (3),3 (3),2 (2),3 (3),3 (3),5 (5),5 (5),4 (4),4 (4),4 (4),4 (4),4 (4),3 (3),4 (4),4 (4),3 (3),3 (3),3 (3),2 (2),3 (3),2 (2),3 (3),1 (1),2 (2),4 (4),2 (2),2 (2),3 (3)
1f0ac4fa-522b-423a-a6f5-55e7c57dcbd1,2024-04-10T14:59:07+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/1f0ac4fa-522b-423a-a6f5-55e7c57dcbd1,2 (20-30),1 (Male),5 (Very Interested),2 (Little muscial experience),2 (2),2 (2),3 (3),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),3 (3),3 (3),4 (4),4 (4),2 (2),3 (3),3 (3),3 (3),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),3 (3),3 (3),3 (3),4 (4),1 (1),1 (1),2 (2),1 (1),5 (5),5 (5),5 (5),5 (5),1 (1),1 (1),1 (1),1 (1),4 (4),4 (4),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),3 (3),3 (3),3 (3),3 (3),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),3 (3),4 (4),3 (3),4 (4),3 (3),4 (4),3 (3),4 (4),4 (4),4 (4),4 (4),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),5 (5),4 (4),4 (4),5 (5),4 (4),2 (2),2 (2),3 (3),1 (1),2 (2),2 (2),2 (2),3 (3)
c5893ee4-4349-4048-9d86-e2c0a5814faf,2024-04-10T14:30:40+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/c5893ee4-4349-4048-9d86-e2c0a5814faf,2 (20-30),1 (Male),4 (Interested),3 (Amature/Hobby musician ),3 (3),2 (2),1 (1),1 (1),3 (3),3 (3),2 (2),2 (2),3 (3),3 (3),3 (3),3 (3),4 (4),4 (4),4 (4),4 (4),2 (2),4 (4),2 (2),2 (2),3 (3),5 (5),3 (3),4 (4),3 (3),4 (4),4 (4),3 (3),2 (2),2 (2),3 (3),2 (2),2 (2),2 (2),2 (2),2 (2),1 (1),1 (1),1 (1),1 (1),3 (3),3 (3),1 (1),2 (2),2 (2),2 (2),4 (4),3 (3),3 (3),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),3 (3),1 (1),1 (1),2 (2),2 (2),3 (3),2 (2),2 (2),2 (2),3 (3),2 (2),2 (2),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1),5 (5),5 (5),5 (5),5 (5),2 (2),2 (2),1 (1),2 (2),3 (3),3 (3),3 (3),3 (3),3 (3),2 (2),2 (2),2 (2),2 (2),1 (1),1 (1),1 (1),3 (3),2 (2),3 (3),2 (2)
9016daef-458f-432d-b722-50aa0e842d81,2024-04-10T13:38:06+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/9016daef-458f-432d-b722-50aa0e842d81,2 (20-30),1 (Male),3 (Neutral),2 (Little muscial experience),2 (2),3 (3),4 (4),2 (2),3 (3),3 (3),3 (3),3 (3),4 (4),4 (4),3 (3),3 (3),4 (4),2 (2),5 (5),4 (4),2 (2),2 (2),3 (3),2 (2),3 (3),3 (3),4 (4),3 (3),4 (4),4 (4),4 (4),4 (4),4 (4),2 (2),3 (3),3 (3),2 (2),3 (3),2 (2),2 (2),2 (2),2 (2),2 (2),1 (1),4 (4),4 (4),5 (5),4 (4),3 (3),2 (2),3 (3),3 (3),3 (3),3 (3),3 (3),3 (3),1 (1),1 (1),2 (2),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1),3 (3),4 (4),2 (2),2 (2),3 (3),3 (3),2 (2),1 (1),1 (1),2 (2),1 (1),1 (1),1 (1),1 (1),1 (1),3 (3),3 (3),3 (3),3 (3),4 (4),3 (3),2 (2),3 (3),4 (4),4 (4),2 (2),4 (4),3 (3),3 (3),3 (3),3 (3),1 (1),1 (1),1 (1),1 (1),1 (1),1 (1),2 (2),2 (2)
2acc156e-d281-45c4-9007-ebb230ace6b2,2024-04-10T13:11:56+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/2acc156e-d281-45c4-9007-ebb230ace6b2,2 (20-30),1 (Male),3 (Neutral),2 (Little muscial experience),2 (2),2 (2),3 (3),2 (2),3 (3),3 (3),2 (2),3 (3),4 (4),3 (3),3 (3),3 (3),1 (1),1 (1),2 (2),2 (2),3 (3),2 (2),1 (1),2 (2),3 (3),1 (1),1 (1),2 (2),1 (1),2 (2),3 (3),2 (2),2 (2),3 (3),2 (2),2 (2),2 (2),1 (1),2 (2),2 (2),3 (3),1 (1),2 (2),2 (2),2 (2),1 (1),2 (2),2 (2),3 (3),4 (4),2 (2),2 (2),3 (3),1 (1),2 (2),2 (2),3 (3),2 (2),2 (2),3 (3),2 (2),1 (1),2 (2),2 (2),3 (3),2 (2),2 (2),2 (2),1 (1),2 (2),2 (2),2 (2),1 (1),2 (2),2 (2),2 (2),1 (1),2 (2),1 (1),2 (2),3 (3),4 (4),4 (4),4 (4),3 (3),4 (4),4 (4),3 (3),4 (4),4 (4),5 (5),5 (5),3 (3),2 (2),2 (2),3 (3),1 (1),2 (2),2 (2),2 (2),2 (2),1 (1),3 (3),2 (2)
24f4989d-ac86-4280-b005-22f9a85be0ef,2024-04-10T12:49:51+00:00,https://my.aidaform.com/form/9k2gxv63b3t/response/24f4989d-ac86-4280-b005-22f9a85be0ef,2 (20-30),1 (Male),4 (Interested),3 (Amature/Hobby musician),3 (3),2 (2),2 (2),3 (3),3 (3),2 (2),3 (3),3 (3),4 (4),3 (3),4 (4),4 (4),4 (4),4 (4),4 (4),4 (4),5 (5),4 (4),5 (5),4 (4),5 (5),5 (5),4 (4),5 (5),5 (5),5 (5),5 (5),4 (4),4 (4),3 (3),2 (2),3 (3),4 (4),3 (3),3 (3),3 (3),3 (3),2 (2),2 (2),2 (2),4 (4),4 (4),3 (3),3 (3),3 (3),2 (2),3 (3),3 (3),5 (5),4 (4),4 (4),4 (4),4 (4),3 (3),3 (3),3 (3),2 (2),1 (1),2 (2),1 (1),3 (3),3 (3),3 (3),3 (3),3 (3),2 (2),3 (3),3 (3),3 (3),3 (3),2 (2),2 (2),2 (2),2 (2),2 (2),2 (2),4 (4),4 (4),4 (4),4 (4),4 (4),3 (3),3 (3),3 (3),5 (5),4 (4),4 (4),4 (4),4 (4),3 (3),3 (3),3 (3),3 (3),3 (3),2 (2),3 (3),3 (3),3 (3),3 (3),3 (3)
